timestamp,x,y,z,qw,qx,qy,qz
1,-50,-56,-100,0.70710678,0,0,0.70710678
2,-50,44,-100,0.70710678,0,0,0.70710678
3,-50,144,-100,0.70710678,0,0,0.70710678
4,50,-56,-100,0.70710678,0,0,0.70710678
5,50,44,-100,0.70710678,0,0,0.70710678
6,50,144,-100,0.70710678,0,0,0.70710678
7,150,-56,-100,0.70710678,0,0,0.70710678
8,150,44,-100,0.70710678,0,0,0.70710678
9,150,144,-100,0.70710678,0,0,0.70710678
10,250,-56,-100,0.70710678,0,0,0.70710678
11,250,44,-100,0.70710678,0,0,0.70710678
12,250,144,-100,0.70710678,0,0,0.70710678
